questionID,examID,course,exam_type,creation_dt_time,creation_hr,creation_dt,correct,marked,q_ordinal,difficulty,nth_exam,nth_e_or_q,weekday,minutes_used,subcat1,subcat2,subcat3,cat1,cat2,cat3,approx_remaining_time,EL_begin,EL_change,EL_end,hrs_since_previous_e,hist_cat_n,hist_subcat_diff,hist_subcat_diff_correct,hist_tot_time_correct,hist_total_time_e,hist_total_time_q,hist_greater_diff_time_correct,hist_greater_diff,hist_net_diff,hist_n_marked,hist_marked_incorrect,hist_repeat_question,hist_net_rel_diff
2016-08-26 20:21:30.1130000 +00:00373174.48,P2016-08-26 16:21:30,P,e,2016-08-26T20:21:30Z,16.35,2016-08-26,FALSE,FALSE,17,4.48,3,3,Friday,6.216666666666667,conditional distributions and independence of random variables,conditional distributions and independence of random variables,conditional distributions and independence of random variables,multivariate probability distributions,multivariate probability distributions,multivariate probability distributions,115.28333333333335,3,3.18,6.18,29.129133333298896,63,0,0,0,0,0,0,243.9,0,0,0,0,0
2016-08-26 20:21:30.1130000 +00:00106167.25,P2016-08-26 16:21:30,P,e,2016-08-26T20:21:30Z,16.35,2016-08-26,FALSE,TRUE,16,7.25,3,3,Friday,1.7666666666666666,conditional probability and independence,conditional probability and independence,conditional probability and independence,general probability,general probability,general probability,113.51666666666668,3,3.18,6.18,29.129133333298896,45,43.11,0,0,200.25,0,0,238.04999999999998,-43.11,0,0,0,-1
2016-08-26 20:21:30.1130000 +00:00306155.52,P2016-08-26 16:21:30,P,e,2016-08-26T20:21:30Z,16.35,2016-08-26,TRUE,FALSE,15,5.52,3,3,Friday,5.1,deductible,deductible,deductible,insurance and risk management,insurance and risk management,insurance and risk management,108.41666666666667,3,3.18,6.18,29.129133333298896,36,112.59,45.63,1.8,3.3,0,0,97.10999999999999,-21.330000000000002,0,0,0,-0.1894484412470024
2016-08-26 20:21:30.1130000 +00:00226143.44,P2016-08-26 16:21:30,P,e,2016-08-26T20:21:30Z,16.35,2016-08-26,TRUE,FALSE,14,3.44,3,3,Friday,3.7666666666666666,covariance and coefficient of correlation,covariance and coefficient of correlation,covariance and coefficient of correlation,multivariate probability distributions,multivariate probability distributions,multivariate probability distributions,104.65,3,3.18,6.18,29.129133333298896,63,56.339999999999996,56.339999999999996,1.3499999999999999,1.3499999999999999,0,1.3499999999999999,284.13,56.339999999999996,0,0,0,1
2016-08-26 20:21:30.1130000 +00:00900135.03,P2016-08-26 16:21:30,P,e,2016-08-26T20:21:30Z,16.35,2016-08-26,FALSE,FALSE,13,5.03,3,3,Friday,15,discrete distributions: poisson,discrete distributions: poisson,discrete distributions: poisson,univariate probability distributions,univariate probability distributions,univariate probability distributions,89.65,3,3.18,6.18,29.129133333298896,54,0,0,0,0,0,0,0,0,0,0,0,0
2016-08-26 20:21:30.1130000 +00:00108122.68,P2016-08-26 16:21:30,P,e,2016-08-26T20:21:30Z,16.35,2016-08-26,TRUE,FALSE,12,2.68,3,3,Friday,1.8,other,percentiles,percentiles,other,percentiles,percentiles,87.85000000000001,3,3.18,6.18,29.129133333298896,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-08-26 20:21:30.1130000 +00:00659115.05,P2016-08-26 16:21:30,P,e,2016-08-26T20:21:30Z,16.35,2016-08-26,FALSE,TRUE,11,5.05,3,3,Friday,10.983333333333333,conditional probability and independence,conditional probability and independence,conditional probability and independence,general probability,general probability,general probability,76.86666666666667,3,3.18,6.18,29.129133333298896,45,43.11,0,0,200.25,0,0,238.04999999999998,-43.11,0,0,0,-1
2016-08-26 20:21:30.1130000 +00:00276105.09,P2016-08-26 16:21:30,P,e,2016-08-26T20:21:30Z,16.35,2016-08-26,FALSE,FALSE,10,5.09,3,3,Friday,4.6,other,policy limit,policy limit,insurance and risk management,insurance and risk management,insurance and risk management,72.26666666666668,3,3.18,6.18,29.129133333298896,36,129.69,129.69,123.9,123.9,0,29.1,97.10999999999999,129.69,0,0,0,1
2016-08-26 20:21:30.1130000 +00:0088597.09,P2016-08-26 16:21:30,P,e,2016-08-26T20:21:30Z,16.35,2016-08-26,FALSE,FALSE,9,7.09,3,3,Friday,14.75,covariance and coefficient of correlation,covariance and coefficient of correlation,covariance and coefficient of correlation,multivariate probability distributions,multivariate probability distributions,multivariate probability distributions,57.51666666666668,3,3.18,6.18,29.129133333298896,63,56.339999999999996,56.339999999999996,1.3499999999999999,1.3499999999999999,0,0,81.45,56.339999999999996,0,0,0,1
2016-08-26 20:21:30.1130000 +00:0039784.45,P2016-08-26 16:21:30,P,e,2016-08-26T20:21:30Z,16.35,2016-08-26,FALSE,FALSE,8,4.45,3,3,Friday,6.616666666666666,joint distributions and marginal distributions,joint distributions and marginal distributions,joint distributions and marginal distributions,multivariate probability distributions,multivariate probability distributions,multivariate probability distributions,50.900000000000006,3,3.18,6.18,29.129133333298896,63,126.54,50.94,135.6,291.9,0,135.6,284.13,-24.660000000000004,0,0,0,-0.19487908961593173
2016-08-26 20:21:30.1130000 +00:0032976.16,P2016-08-26 16:21:30,P,e,2016-08-26T20:21:30Z,16.35,2016-08-26,FALSE,TRUE,7,6.16,3,3,Friday,5.483333333333333,random variables,random variables,random variables,univariate probability distributions,univariate probability distributions,univariate probability distributions,45.416666666666686,3,3.18,6.18,29.129133333298896,54,86.22,0,0,8.25,0,0,0,-86.22,0,0,0,-1
2016-08-26 20:21:30.1130000 +00:0011065.38,P2016-08-26 16:21:30,P,e,2016-08-26T20:21:30Z,16.35,2016-08-26,FALSE,FALSE,6,5.38,3,3,Friday,1.8333333333333333,joint distributions and marginal distributions,joint distributions and marginal distributions,joint distributions and marginal distributions,multivariate probability distributions,multivariate probability distributions,multivariate probability distributions,43.58333333333334,3,3.18,6.18,29.129133333298896,63,126.54,50.94,135.6,291.9,0,135.6,243.9,-24.660000000000004,0,0,0,-0.19487908961593173
2016-08-26 20:21:30.1130000 +00:0025957.93,P2016-08-26 16:21:30,P,e,2016-08-26T20:21:30Z,16.35,2016-08-26,TRUE,FALSE,5,7.93,3,3,Friday,4.316666666666666,moments,moments,moments,univariate probability distributions,univariate probability distributions,univariate probability distributions,39.26666666666668,3,3.18,6.18,29.129133333298896,54,45.36,0,0,127.05000000000001,0,0,0,-45.36,0,0,0,-1
2016-08-26 20:21:30.1130000 +00:0079045.5,P2016-08-26 16:21:30,P,e,2016-08-26T20:21:30Z,16.35,2016-08-26,FALSE,FALSE,4,5.5,3,3,Friday,13.166666666666666,other,discrete distributions: hypergeometric,discrete distributions: hypergeometric,univariate probability distributions,univariate probability distributions,univariate probability distributions,26.100000000000023,3,3.18,6.18,29.129133333298896,54,0,0,0,0,0,0,0,0,0,0,0,0
2016-08-26 20:21:30.1130000 +00:0055836.97,P2016-08-26 16:21:30,P,e,2016-08-26T20:21:30Z,16.35,2016-08-26,TRUE,FALSE,3,6.97,3,3,Friday,9.3,other,multivariate distributions: bivariate uniform,multivariate distributions: bivariate uniform,multivariate probability distributions,multivariate probability distributions,multivariate probability distributions,16.80000000000001,3,3.18,6.18,29.129133333298896,63,68.31,0,0,109.05000000000001,0,0,81.45,-68.31,0,0,0,-1
2016-08-26 20:21:30.1130000 +00:0059125.13,P2016-08-26 16:21:30,P,e,2016-08-26T20:21:30Z,16.35,2016-08-26,FALSE,TRUE,2,5.13,3,3,Friday,9.85,other,continuous distributions: continuous uniform,continuous distributions: continuous uniform,univariate probability distributions,univariate probability distributions,univariate probability distributions,6.950000000000017,3,3.18,6.18,29.129133333298896,54,0,0,0,0,0,0,0,0,0,0,0,0
2016-08-26 20:21:30.1130000 +00:0041715.45,P2016-08-26 16:21:30,P,e,2016-08-26T20:21:30Z,16.35,2016-08-26,TRUE,FALSE,1,5.45,3,3,Friday,6.95,joint distributions and marginal distributions,joint distributions and marginal distributions,joint distributions and marginal distributions,multivariate probability distributions,multivariate probability distributions,multivariate probability distributions,0,3,3.18,6.18,29.129133333298896,63,126.54,50.94,135.6,291.9,0,135.6,243.9,-24.660000000000004,0,0,0,-0.19487908961593173
2016-08-27 18:13:18.0300000 +00:00106306.89,P2016-08-27 14:13:18,P,e,2016-08-27T18:13:18Z,14.216666666666667,2016-08-27,TRUE,FALSE,30,6.89,4,4,Saturday,1.7666666666666666,normal approximation,normal approximation,normal approximation,univariate probability distributions,univariate probability distributions,univariate probability distributions,179.96666666666667,3,3.18,6.18,21.863310277793143,135,136.62,102.24,112.19999999999999,134.54999999999998,0,0,71.37,67.86,0,36,0,0.49670619235836627
2016-08-27 18:13:18.0300000 +00:00165294.19,P2016-08-27 14:13:18,P,e,2016-08-27T18:13:18Z,14.216666666666667,2016-08-27,FALSE,FALSE,29,4.19,4,4,Saturday,2.75,other,moment generating functions,moment generating functions,univariate probability distributions,univariate probability distributions,univariate probability distributions,177.21666666666667,3,3.18,6.18,21.863310277793143,135,0,0,0,0,0,0,227.88,0,0,36,0,0
2016-08-27 18:13:18.0300000 +00:0043283.53,P2016-08-27 14:13:18,P,e,2016-08-27T18:13:18Z,14.216666666666667,2016-08-27,TRUE,FALSE,28,3.53,4,4,Saturday,0.7166666666666667,other,multivariate distributions: bivariate normal,multivariate distributions: bivariate normal,multivariate probability distributions,multivariate probability distributions,multivariate probability distributions,176.50000000000003,3,3.18,6.18,21.863310277793143,153,0,0,0,0,0,0,488.79,0,0,0,0,0
2016-08-27 18:13:18.0300000 +00:00530276.65,P2016-08-27 14:13:18,P,e,2016-08-27T18:13:18Z,14.216666666666667,2016-08-27,FALSE,FALSE,27,6.65,4,4,Saturday,8.833333333333334,moments,moments,moments,univariate probability distributions,univariate probability distributions,univariate probability distributions,167.66666666666669,3,3.18,6.18,21.863310277793143,135,116.73,71.37,38.849999999999994,165.9,0,38.849999999999994,132.93,26.009999999999998,0,36,0,0.22282189668465688
2016-08-27 18:13:18.0300000 +00:00320268.8,P2016-08-27 14:13:18,P,e,2016-08-27T18:13:18Z,14.216666666666667,2016-08-27,TRUE,FALSE,26,8.8,4,4,Saturday,5.333333333333333,normal approximation,normal approximation,normal approximation,univariate probability distributions,univariate probability distributions,univariate probability distributions,162.33333333333334,3,3.18,6.18,21.863310277793143,135,136.62,102.24,112.19999999999999,134.54999999999998,0,0,0,67.86,0,36,0,0.49670619235836627
2016-08-27 18:13:18.0300000 +00:0033253.89,P2016-08-27 14:13:18,P,e,2016-08-27T18:13:18Z,14.216666666666667,2016-08-27,TRUE,FALSE,25,3.89,4,4,Saturday,0.55,covariance and coefficient of correlation,covariance and coefficient of correlation,covariance and coefficient of correlation,multivariate probability distributions,multivariate probability distributions,multivariate probability distributions,161.78333333333336,3,3.18,6.18,21.863310277793143,153,151.10999999999999,87.3,35.25,168,0,1.3499999999999999,488.79,23.49,0,0,0,0.15544967242406194
2016-08-27 18:13:18.0300000 +00:00753246.1,P2016-08-27 14:13:18,P,e,2016-08-27T18:13:18Z,14.216666666666667,2016-08-27,FALSE,TRUE,24,6.1,4,4,Saturday,12.55,deductible,deductible,deductible,insurance and risk management,insurance and risk management,insurance and risk management,149.23333333333335,3,3.18,6.18,21.863310277793143,90,330.12,95.31,47.699999999999996,286.95,0,0,97.10999999999999,-139.5,9,9,0,-0.42257360959651036
2016-08-27 18:13:18.0300000 +00:00256235.58,P2016-08-27 14:13:18,P,e,2016-08-27T18:13:18Z,14.216666666666667,2016-08-27,TRUE,FALSE,23,5.58,4,4,Saturday,4.266666666666667,counting techniques and combinatorial probability,counting techniques and combinatorial probability,counting techniques and combinatorial probability,general probability,general probability,general probability,144.9666666666667,3,3.18,6.18,21.863310277793143,81,145.44,145.44,111.89999999999999,111.89999999999999,0,111.89999999999999,238.04999999999998,145.44,0,18,0,1
2016-08-27 18:13:18.0300000 +00:00197228.06,P2016-08-27 14:13:18,P,e,2016-08-27T18:13:18Z,14.216666666666667,2016-08-27,TRUE,FALSE,22,8.06,4,4,Saturday,3.283333333333333,joint distributions and marginal distributions,joint distributions and marginal distributions,joint distributions and marginal distributions,multivariate probability distributions,multivariate probability distributions,multivariate probability distributions,141.68333333333334,3,3.18,6.18,21.863310277793143,153,264.06,99.99000000000001,198.15,430.5,0,0,81.45,-64.08,0,0,0,-0.24267211997273347
2016-08-27 18:13:18.0300000 +00:0086215.3,P2016-08-27 14:13:18,P,e,2016-08-27T18:13:18Z,14.216666666666667,2016-08-27,FALSE,FALSE,21,5.3,4,4,Saturday,1.4333333333333333,other,discrete distributions: discrete uniform,discrete distributions: discrete uniform,univariate probability distributions,univariate probability distributions,univariate probability distributions,140.25,3,3.18,6.18,21.863310277793143,135,45.99,0,0,6.9,0,0,187.2,-45.99,9,36,0,-1
2016-08-27 18:13:18.0300000 +00:00701205.28,P2016-08-27 14:13:18,P,e,2016-08-27T18:13:18Z,14.216666666666667,2016-08-27,TRUE,FALSE,20,5.28,4,4,Saturday,11.683333333333334,deductible,deductible,deductible,insurance and risk management,insurance and risk management,insurance and risk management,128.5666666666667,3,3.18,6.18,21.863310277793143,90,330.12,95.31,47.699999999999996,286.95,0,45.9,146.79,-139.5,9,9,0,-0.42257360959651036
